CustomerId,primary_persona,existing_secondary_persona,frequent_charger_count,charger_ids,dominant_primary_mode,primary_mode_diversity,dominant_secondary_mode,secondary_mode_diversity,dominant_category,category_diversity,avg_charger_popularity,total_landmarks,total_sessions,avg_session_duration,avg_energy_consumption,weekend_ratio,peak_hour,loyalty_score,zone_diversity,primary_zone
gDhAzhpGax,regular,shopping_mall,1,['DelDC0013'],regular,1,shopping_mall,1,shopping_mall,1.0,93.0,1.0,15,0.9657962962962963,19.683466666666668,0.26666666666666666,11.0,0.46666666666666673,3,North
gDmJNkqzDi,regular,residential,1,['delac0217'],regular,1,residential,1,residential,1.0,64.0,1.0,1,2.9525,10.833,1.0,14.0,1.0,1,Central
gELdxoexYH,regular,residential,7,"['delac0191', 'wbac0114', 'scac0119', 'scac0072', 'scac0152', 'scac0117', 'SCDC0036']",regular,1,residential,3,residential,3.0,97.14285714285714,7.0,7,0.8638095238095238,12.732142857142858,0.2857142857142857,7.0,0.28571428571428564,2,West
gETaFOWffX,regular,other,1,['scdc0021'],regular,1,other,1,other,1.0,444.0,1.0,11,0.9794444444444445,15.173,0.18181818181818182,19.0,0.27272727272727265,2,North
gEzrdYxaSc,regular,residential,1,['scac0082'],regular,1,residential,1,residential,1.0,50.0,1.0,16,6.596736111111111,41.508812500000005,0.375,7.0,0.8125,1,West
gFRzwPHild,regular,residential,1,['scac0054'],regular,1,residential,1,residential,1.0,147.0,1.0,1,0.7008333333333333,5.37,0.0,12.0,1.0,1,West
gFUbIhbOJI,regular,residential,1,['scac0074'],regular,1,residential,1,residential,1.0,66.0,1.0,1,1.6366666666666667,11.08,1.0,21.0,1.0,1,West
gFcDyrIiSH,regular,residential,2,"['delac0308', 'scac0120']",noise,2,residential,1,residential,1.0,32.5,2.0,2,2.6544444444444446,18.4335,1.0,13.0,0.5,1,West
gGBpPBCjDM,regular,residential,1,['wbac0267'],noise,1,residential,1,residential,1.0,50.0,1.0,8,6.317326388888889,19.77325,0.25,19.0,0.75,2,West
gGSyEdJnEQ,regular,residential,1,['DELDC0008'],regular,1,residential,1,residential,1.0,237.0,1.0,1,0.4680555555555555,28.216,0.0,20.0,1.0,1,North
gGWZnZuVFR,regular,other,1,['wbac0062'],regular,1,other,1,other,1.0,124.0,1.0,1,0.6177777777777778,4.322,1.0,19.0,1.0,1,Central
gGgGfxTYtF,noise,residential,1,['delac0400'],regular,1,residential,1,residential,1.0,33.0,1.0,40,7.676048611111111,43.260625000000005,0.225,0.0,1.0,1,North
gIDwvzmeWu,regular,other,1,['DelDC0011'],regular,1,other,1,other,1.0,146.0,1.0,26,0.7045405982905983,18.79323076923077,0.23076923076923078,16.0,0.7307692307692306,2,North
